#Generated on Thu, 26 Feb 2015 16:08:47 CET 
#Registered probes: 12790
#Connected probes: 7672
#No.:ASN:Holder:Count of registered probes:Count of connected probes:Cumulative probability of connected probes
1:7922:COMCAST-7922 - Comcast Cable Communications, Inc.,US:399:313:0.0408
2:12322:PROXAD Free SAS,FR:301:242:0.0723
3:6830:LGI-UPC Liberty Global Operations B.V.,AT:304:233:0.1027
4:3320:DTAG Deutsche Telekom AG,DE:275:190:0.1275
5:3215:AS3215 Orange S.A.,FR:166:124:0.1436
6:9143:ZIGGO Ziggo B.V.,NL:111:83:0.1545
7:3265:XS4ALL-NL XS4ALL Internet BV,NL:98:82:0.1651
8:2856:BT-UK-AS BT Public Internet Service,GB:107:76:0.1751
9:701:UUNET - MCI Communications Services, Inc. d/b/a Verizon Business,US:88:74:0.1847
10:5089:NTL Virgin Media Limited,GB:99:73:0.1942
11:5432:BELGACOM-SKYNET-AS BELGACOM S.A.,BE:100:67:0.2029
12:15557:LDCOMNET Societe Francaise du Radiotelephone S.A,FR:69:60:0.2108
13:20825:UNITYMEDIA Unitymedia NRW GmbH,DE:79:60:0.2186
14:6848:TELENET-AS Telenet N.V.,BE:78:59:0.2263
15:31334:KABELDEUTSCHLAND-AS Kabel Deutschland Vertrieb und Service GmbH,DE:77:57:0.2337
16:20712:AS20712 Andrews & Arnold Ltd,GB:57:51:0.2404
17:21502:ASN-NUMERICABLE NUMERICABLE is a cable network operator in France, offering TV,VOICE and Internet services,FR:60:46:0.2464
18:35540:OVH-TELECOM OVH SAS,FR:55:45:0.2522
19:7018:ATT-INTERNET4 - AT&T Services, Inc.,US:48:40:0.2574
20:3269:ASN-IBSNAZ Telecom Italia S.p.a.,IT:56:38:0.2624
21:3209:VODANET Vodafone GmbH,DE:47:37:0.2672
22:3292:TDC TDC A/S,DK:44:36:0.2719
23:4739:INTERNODE-AS Internode Pty Ltd,AU:42:33:0.2762
24:20001:ROADRUNNER-WEST - Time Warner Cable Internet LLC,US:41:33:0.2805
25:680:DFN Verein zur Foerderung eines Deutschen Forschungsnetzes e.V.,DE:33:29:0.2843
26:8402:CORBINA-AS OJSC "Vimpelcom",RU:50:29:0.2881
27:3303:SWISSCOM Swisscom (Switzerland) Ltd,CH:39:28:0.2917
28:786:JANET JISC Collections And Janet Limited,GB:37:28:0.2954
29:2119:TELENOR-NEXTEL Telenor Norge AS,NO:32:28:0.2990
30:5607:BSKYB-BROADBAND-AS British Sky Broadcasting Limited,GB:61:27:0.3025
31:12874:FASTWEB Fastweb SpA,IT:41:26:0.3059
32:5645:TEKSAVVY - TekSavvy Solutions, Inc.,CA:34:26:0.3093
33:5410:ASN-BOUYGTEL-ISP Bouygues Telecom S.A.,FR:35:26:0.3127
34:6871:PLUSNET PlusNet PLC,GB:33:25:0.3160
35:22773:ASN-CXA-ALL-CCI-22773-RDC - Cox Communications Inc.,US:28:25:0.3192
36:3352:TELEFONICA_DE_ESPANA TELEFONICA DE ESPANA,ES:41:24:0.3223
37:5610:O2-CZECH-REPUBLIC O2 Czech Republic, a.s.,CZ:25:22:0.3252
38:29562:KABELBW-ASN Kabel BW GmbH,DE:27:21:0.3279
39:16086:DNA DNA Oy,FI:25:21:0.3307
40:18106:VIEWQWEST-SG-AP Viewqwest Pte Ltd,SG:30:21:0.3334
41:20115:CHARTER-NET-HKY-NC - Charter Communications,US:25:20:0.3360
42:38229:LEARN-LK Lanka Education & Research Network, NREN,LK:23:20:0.3386
43:42610:NCNET-AS OJSC Rostelecom,RU:28:20:0.3412
44:13037:ZEN-AS Zen Internet Ltd,GB:25:20:0.3438
45:1853:ACONET ACOnet Backbone,AT:20:19:0.3463
46:13184:HANSENET Telefonica Germany GmbH & Co.OHG,DE:27:18:0.3487
47:9198:KAZTELECOM-AS JSC Kazakhtelecom,KZ:23:18:0.3510
48:1103:SURFNET-NL SURFnet, The Netherlands,NL:24:18:0.3534
49:6739:ONO-AS Cableuropa - ONO,ES:27:18:0.3557
50:6805:TDDE-ASN1 Telefonica Germany GmbH & Co.OHG,DE:25:17:0.3579
51:3741:IS,ZA:24:17:0.3601
52:8473:BAHNHOF Bahnhof Internet AB,SE:21:17:0.3624
53:3301:TELIANET-SWEDEN TeliaSonera AB,SE:20:17:0.3646
54:5466:EIRCOM Eircom Limited,IE:28:16:0.3667
55:3243:MEO-RESIDENCIAL MEO - SERVICOS DE COMUNICACOES E MULTIMEDIA S.A.,PT:23:16:0.3687
56:20845:DIGICABLE DIGI Tavkozlesi es Szolgaltato Kft.,HU:18:16:0.3708
57:577:BACOM - Bell Canada,CA:18:16:0.3729
58:852:ASN852 - TELUS Communications Inc.,CA:19:16:0.3750
59:12392:ASBRUTELE Brutele SC,BE:22:16:0.3771
60:6799:OTENET-GR Ote SA (Hellenic Telecommunications Organisation),GR:29:15:0.3790
61:12714:TI-AS Net By Net Holding LLC,RU:27:15:0.3810
